"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"19531","BAJCOR","EQ","BAJAJ  CONSUMER CARE LIMITED",0.01,1,"","",0,1,"INE933K01021",286.9,199.75,525,73.4,"","","",0,0,0,314.7,209.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BAJAJCON"
"19543","HDFGOL","EQ","HDFC GOLD ETF",0.01,1,"","",0,100,"INF179KC1981",65.91,49.5,65.91,18.25,"","","",0,0,0,72.19,48.12,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCGOLD"
"19556","BHAHOS","EQ","BHANDARI HOSIERY EXPORTS LTD",0.01,1,"","",0,1,"INE474E01029",10.47,5.03,12.9,0.48,"","","",0,0,0,8.67,5.78,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BHANDARI"
"19563","VARPP1","E1","VARANIUM CLOUD LTD PP",0.01,1,"","",0,1,"IN90JOO01011",0,0,0,0,"","","",0,0,0,51.5,42.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CLOUDPP"
"19578","UGASUG","EQ","UGAR SUGAR WORKS LTD",0.01,1,"","",0,1,"INE071E01023",135.9,64.05,135.9,7.35,"","","",0,0,0,98.54,65.69,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UGARSUGAR"
"19579","ARVCOM","SM","ARVIND N COM SHIPPING AGENCIES",0.01,1,"","",0,10,"INE0P4T01013",0,0,94.4,38.05,"","","",0,0,0,65.2,59,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ACSAL"
"19585","BSE","EQ","BSE LIMITED",0.01,1,"","",0,2,"INE118H01025",3264.7,804,3264.7,91.67,"","","",0,0,0,3171.9,2114.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BSE"
"19597","IRMENE","EQ","IRM ENERGY LIMITED",0.01,1,"","",0,10,"INE07U701015",641,431.6,641,431.6,"","","",0,0,0,545.6,363.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IRMENERGY"
"19603","PRAS","BE","PRAKASH STEELAGE LIMITED",0.01,1,"","",0,1,"INE696K01024",16.2,4.35,243.85,0.05,"","","",0,0,0,11.09,10.66,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PRAKASHSTL"
"1961","PANENE","EQ","PANASONIC ENERGY INDIA CO LTD",0.01,1,"","",0,10,"INE795A01017",0,0,145,16,"","","",0,0,0,25.5,17,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LAKHNNATNL"
